,virus_species_from_file,accession_with_version,subfamily,genus,subgenus,species,host,Sequence length,GC content,Melting temperature,GC skew,date,datetime
0,Alphacoronavirus_HKU33,MK720944.1,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus HKU33,,Tylonycteris robustula,27636,36.984368215371255,77.41939090993151,0.14140591026003424,09-Sep-2015,2015-09-09
1,Alphacoronavirus_HKU33,NC_054015.1,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus HKU33,,Tylonycteris robustula,27636,36.984368215371255,77.41939090993151,0.14140591026003424,09-Sep-2015,2015-09-09
2,Murine_coronavirus,KP887098.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,,31409,41.752363972109904,79.52880589452565,0.1454730944166725,01-Jul-2014,2014-07-01
3,Murine_coronavirus,NC_012936.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,rat,31250,41.2576,79.27498994977509,0.14955129712681745,27-SEP-2020,2020-09-27
4,Murine_coronavirus,NC_001846.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31357,41.7801447842587,79.53250447377133,0.14698148442408432,14-NOV-2020,2020-11-14
5,Murine_coronavirus,MF416379.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31414,42.14733891773099,79.66756725590449,0.14577267009751974,Sep-2014,2014-09-01
6,Murine_coronavirus,KF268337.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,Mus musculus,31294,41.83869112289896,79.5567209665927,0.14515146809003948,25-Oct-2012,2012-10-25
7,Murine_coronavirus,AF208067.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31233,41.8051419972465,79.546515060285,0.14534370915734948,03-JAN-2002,2002-01-03
8,Murine_coronavirus,JF792617.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,rat,31274,41.29085908015096,79.29670536476806,0.1511166464540683,30-APR-2012,2012-04-30
9,Murine_coronavirus,GU593319.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,mouse,31147,41.7600410954506,79.51172277771883,0.14774724976317438,23-JUL-2010,2010-07-23
10,Murine_coronavirus,FJ647218.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31285,41.81876298545629,79.54685360945865,0.145994603524756,01-Jan-2006,2006-01-01
11,Murine_coronavirus,KF268338.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,Mus musculus,31294,41.845082124368886,79.55912187957864,0.1451360714041068,25-Oct-2012,2012-10-25
12,Murine_coronavirus,AC_000192.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31526,42.03197360908457,79.62440481839093,0.1352660918272587,26-SEP-2020,2020-09-26
13,Murine_coronavirus,FJ647222.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31283,41.96528465939968,79.58526171234132,0.13895913097827084,24-JUL-2016,2016-07-24
14,Murine_coronavirus,FJ647221.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31456,41.95701932858596,79.60387347782131,0.13957583941106733,24-JUL-2016,2016-07-24
15,Murine_coronavirus,KF268339.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,Mus musculus,31283,41.84700955790685,79.56142636208256,0.1459206411005,25-Oct-2012,2012-10-25
16,Murine_coronavirus,MF618253.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,mouse,29893,41.97778669878228,79.6123309521783,0.14201492223183765,16-Jan-2014,2014-01-16
17,Murine_coronavirus,FJ647220.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31429,41.897610487129725,79.59292236199246,0.14302430229584143,24-JUL-2016,2016-07-24
18,Murine_coronavirus,FJ647227.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31250,41.924013326499235,79.57808472641864,0.14200938926146842,24-JUL-2016,2016-07-24
19,Murine_coronavirus,MF618252.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,mouse,29947,41.85728119678098,79.57190739394088,0.1481501769355131,16-Jan-2014,2014-01-16
20,Murine_coronavirus,AB551247.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,"Mus musculus, severe combined immunedeficiency (SCID), female, 6-8 weeks old, liver, sample ID: E4M31",31428,41.908489245259005,79.57633500264706,0.1434703183059341,1994,1994-01-01
21,Murine_coronavirus,NC_048217.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31335,41.80947821924366,79.54003087512996,0.14656779299106829,16-SEP-2020,2020-09-16
22,Murine_coronavirus,JF792616.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,rat,31286,41.308865372933916,79.29620123144997,0.15123821657497377,30-APR-2012,2012-04-30
23,Murine_coronavirus,JX169867.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,,31051,41.95367118786044,79.57957320489254,0.13587549756812592,14-Aug-1947,1947-08-14
24,Murine_coronavirus,FJ647224.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31448,41.96133299414907,79.58092421506626,0.13760768719657424,24-JUL-2016,2016-07-24
25,Murine_coronavirus,AF207902.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31277,41.48415768775778,79.3895559217321,0.14636359249882797,03-JAN-2002,2002-01-03
26,Murine_coronavirus,FJ884687.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,mouse,31277,41.81986763436391,79.54504082992719,0.146109774523815,24-JUL-2016,2016-07-24
27,Murine_coronavirus,KF268336.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,Mus musculus,31294,41.803540614814345,79.53951071936274,0.14584774243684326,25-Oct-2012,2012-10-25
28,Murine_coronavirus,FJ647219.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31427,42.078467559741625,79.64454542827258,0.13434499974478956,24-JUL-2016,2016-07-24
29,Murine_coronavirus,KF850449.2,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Rattus sp.,31169,41.4060923945935,79.36212384531962,0.1483216246729545,09-Dec-1996,1996-12-09
30,Murine_coronavirus,JQ173883.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31161,41.74448830268605,79.50924641033316,0.14741278476895978,24-MAR-2012,2012-03-24
31,Murine_coronavirus,FJ938068.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,rat,31250,41.2576,79.27498994977509,0.14955129712681745,11-JUL-2009,2009-07-11
32,Murine_coronavirus,MW620427.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31218,41.966173361522195,79.5847578487863,0.13734429825665798,2020,2020-01-01
33,Murine_coronavirus,AF208066.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31112,41.62381074826433,79.46394511261445,0.1486067633782671,11-MAY-2000,2000-05-11
34,Murine_coronavirus,JX169866.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,,,30729,42.008656881569955,79.6065640835696,0.13577120448962027,14-Aug-1947,1947-08-14
35,Murine_coronavirus,FJ647225.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31293,41.806212450466575,79.53979689268806,0.14632400593792008,24-JUL-2016,2016-07-24
36,Murine_coronavirus,OK491634.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,murine,31252,41.80532445923461,79.50807411957675,0.15018818384555613,2019,2019-01-01
37,Murine_coronavirus,FJ884686.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,mouse,31275,41.8193445243805,79.54604301702483,0.14617581740924668,24-JUL-2016,2016-07-24
38,Murine_coronavirus,AF029248.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31357,41.7801447842587,79.53250447377133,0.14698148442408432,25-JUL-2000,2000-07-25
39,Murine_coronavirus,AY700211.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,,31335,41.80947821924366,79.54003087512996,0.14656779299106829,10-JAN-2006,2006-01-10
40,Murine_coronavirus,FJ647226.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31473,42.02332157722492,79.61786599245534,0.13479758874890158,24-JUL-2016,2016-07-24
41,Murine_coronavirus,FJ647223.1,Orthocoronavirinae,Betacoronavirus,Embecovirus,Murine coronavirus,Mus musculus,31386,41.878544574013894,79.56319864655495,0.14261945507128262,24-JUL-2016,2016-07-24
42,Duck_coronavirus_2714,KM454473.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,duck,27754,39.27361821719392,78.41519655264932,0.1368276336433851,2014,2014-01-01
43,Duck_coronavirus_2714,NC_048214.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,duck,27754,39.27361821719392,78.41519655264932,0.1368276336433851,2014,2014-01-01
44,Duck_coronavirus_2714,JF705860.1,Orthocoronavirinae,Gammacoronavirus,Igacovirus,Avian coronavirus,duck,27673,38.24666642575796,77.86121366172358,0.14716390959941875,May-2004,2004-05-01
45,Human_coronavirus_NL63,ON554011.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27557,34.473999346808434,76.32375332878865,0.16695803191034672,2018,2018-01-01
46,Human_coronavirus_NL63,JQ765564.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens; sex: M,27469,34.518912228330116,76.3492246220975,0.1665154327916604,01-Mar-2009,2009-03-01
47,Human_coronavirus_NL63,JQ900259.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens; sex: F,27502,34.51475564935774,76.34540054919023,0.16662470523071543,09-Feb-2005,2005-02-09
48,Human_coronavirus_NL63,MZ221193.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27292,34.53759343397332,76.35019517573187,0.16861666381918372,2017,2017-01-01
49,Human_coronavirus_NL63,DQ445911.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,,27550,34.50090744101633,76.32880757760836,0.16730653254157155,21-NOV-2006,2006-11-21
50,Human_coronavirus_NL63,ON553966.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27500,34.509090909090915,76.34406707698929,0.16752027158764787,2016,2016-01-01
51,Human_coronavirus_NL63,MK334045.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27544,34.54598264531823,76.35085596716374,0.16748309549402407,14-Aug-2018,2018-08-14
52,Human_coronavirus_NL63,JX104161.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27538,34.45909140429241,76.31453902375858,0.16644852612104344,04-Nov-2008,2008-11-04
53,Human_coronavirus_NL63,DJ009246.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,,27553,34.46448662577578,76.31800138519395,0.16804425611607937,04-OCT-2007,2007-10-04
54,Human_coronavirus_NL63,KF530106.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens; sex: M; age: 35Y,27401,34.45859640159119,76.3304270387548,0.17060303571796157,16-Dec-1987,1987-12-16
55,Human_coronavirus_NL63,ON554010.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27541,34.46861043535093,76.31605388718947,0.1704367353202405,2018,2018-01-01
56,Human_coronavirus_NL63,MK334044.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27516,34.47812182003198,76.31967583418634,0.16876736944066906,13-Jul-2018,2018-07-13
57,Human_coronavirus_NL63,ON554016.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27516,34.485390318360224,76.32468426481466,0.16912767341708032,2018,2018-01-01
58,Human_coronavirus_NL63,ON553973.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27523,34.52385277767685,76.34256453705399,0.1694092045421851,2016,2016-01-01
59,Human_coronavirus_NL63,KY554969.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27509,34.508706241593664,76.33473158287342,0.16783938440250482,2016,2016-01-01
60,Human_coronavirus_NL63,MG428704.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27832,34.47111238861742,76.3247505966861,0.16880023914967504,20-May-2010,2010-05-20
61,Human_coronavirus_NL63,ON553969.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27528,34.52484742807324,76.34065444243328,0.16707681250834644,2016,2016-01-01
62,Human_coronavirus_NL63,KY554970.1,Orthocoronavirinae,Alphacoronavirus,Setracovirus,,Homo sapiens,27540,34.502541757443716,76.3291606303635,0.17006324714513313,2016,2016-01-01
